PLAYER_NAME,GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,DAYS_SINCE_LAST_GAME,ROLLING_MIN_AVG_3,BACK_TO_BACK
Anthony Davis,2023-10-24,LAL @ DEN,L,34,17,8,4,,,0
Anthony Davis,2023-10-26,LAL vs. PHX,W,39,30,12,2,2.0,,0
Anthony Davis,2023-10-29,LAL @ SAC,L,42,30,16,2,3.0,,0
Anthony Davis,2023-10-30,LAL vs. ORL,W,38,26,19,5,1.0,38.333333333333336,1
Anthony Davis,2023-11-01,LAL vs. LAC,W,48,27,10,3,2.0,39.666666666666664,0
Anthony Davis,2023-11-04,LAL @ ORL,L,32,28,13,3,3.0,42.666666666666664,0
Anthony Davis,2023-11-06,LAL @ MIA,L,25,9,6,4,2.0,39.333333333333336,0
Anthony Davis,2023-11-10,LAL @ PHX,W,36,18,11,4,4.0,35.0,0
Anthony Davis,2023-11-12,LAL vs. POR,W,41,30,13,6,2.0,31.0,0
Anthony Davis,2023-11-14,LAL vs. MEM,W,27,19,11,5,2.0,34.0,0
Anthony Davis,2023-11-15,LAL vs. SAC,L,35,9,9,0,1.0,34.666666666666664,1
Anthony Davis,2023-11-17,LAL @ POR,W,35,16,14,2,2.0,34.333333333333336,0
Anthony Davis,2023-11-19,LAL vs. HOU,W,33,27,10,3,2.0,32.333333333333336,0
Anthony Davis,2023-11-21,LAL vs. UTA,W,29,26,16,4,2.0,34.333333333333336,0
Anthony Davis,2023-11-22,LAL vs. DAL,L,36,10,13,4,1.0,32.333333333333336,1
Anthony Davis,2023-11-25,LAL @ CLE,W,38,32,13,3,3.0,32.666666666666664,0
Anthony Davis,2023-11-27,LAL @ PHI,L,32,17,11,2,2.0,34.333333333333336,0
Anthony Davis,2023-11-29,LAL @ DET,W,29,28,16,4,2.0,35.333333333333336,0
Anthony Davis,2023-11-30,LAL @ OKC,L,36,31,14,2,1.0,33.0,1
Anthony Davis,2023-12-02,LAL vs. HOU,W,37,27,14,3,2.0,32.333333333333336,0
Anthony Davis,2023-12-05,LAL vs. PHX,W,39,27,15,1,3.0,34.0,0
Anthony Davis,2023-12-07,LAL vs. NOP,W,31,16,15,5,2.0,37.333333333333336,0
Anthony Davis,2023-12-12,LAL @ DAL,L,37,37,11,0,5.0,35.666666666666664,0
Anthony Davis,2023-12-13,LAL @ SAS,W,38,37,10,1,1.0,35.666666666666664,1
Anthony Davis,2023-12-18,LAL vs. NYK,L,35,32,14,2,5.0,35.333333333333336,0
Anthony Davis,2023-12-20,LAL @ CHI,L,38,19,14,3,2.0,36.666666666666664,0
Anthony Davis,2023-12-21,LAL @ MIN,L,39,31,8,4,1.0,37.0,1
Anthony Davis,2023-12-23,LAL @ OKC,W,42,26,11,7,2.0,37.333333333333336,0
Anthony Davis,2023-12-25,LAL vs. BOS,L,39,40,13,4,2.0,39.666666666666664,0
Anthony Davis,2023-12-28,LAL vs. CHA,W,26,26,8,2,3.0,40.0,0
Anthony Davis,2023-12-30,LAL @ MIN,L,39,33,17,8,2.0,35.666666666666664,0
Anthony Davis,2023-12-31,LAL @ NOP,L,35,20,10,3,1.0,34.666666666666664,1
Anthony Davis,2024-01-03,LAL vs. MIA,L,43,29,17,6,3.0,33.333333333333336,0
Anthony Davis,2024-01-05,LAL vs. MEM,L,41,31,6,4,2.0,39.0,0
Anthony Davis,2024-01-07,LAL vs. LAC,W,39,22,10,1,2.0,39.666666666666664,0
Anthony Davis,2024-01-09,LAL vs. TOR,W,40,41,11,6,2.0,41.0,0
Anthony Davis,2024-01-11,LAL vs. PHX,L,32,13,5,1,2.0,40.0,0
Anthony Davis,2024-01-13,LAL @ UTA,L,39,15,15,11,2.0,37.0,0
Anthony Davis,2024-01-15,LAL vs. OKC,W,38,27,15,5,2.0,37.0,0
